着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,"ﾀｲﾑ指数


タイム指数(通常)
タイム指数マスター","ﾀｲﾑ指数M


タイム指数(通常)
タイム指数マスター",ｽﾀｰﾄ指数,追走指数,上がり指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),race_id,date,surface,distance,condition
3,3,5,キンググローリー,牡3,57.0,丹内祐次,2:15.7,ハナ,**,**,**,**,**,2-2-2-1,36.2,15.8,5.0,470(-4),,,,470(-4),,150.0,202606020305,2026-03-07,芝,2200,稍重
4,1,2,ニシノヒノトリ,牡3,57.0,津村明秀,2:15.8,1/2,**,**,**,**,**,4-4-5-4,36.0,8.0,4.0,480(0),,,,480(0),,89.0,202606020305,2026-03-07,芝,2200,稍重
5,8,17,ベルトラッキ,牡3,57.0,戸崎圭太,2:16.4,3.1/2,**,**,**,**,**,9-10-8-6,36.5,3.0,2.0,472(0),,,,472(0),,59.0,202606020305,2026-03-07,芝,2200,稍重
6,2,4,アニゴザントス,牝3,53.0,長浜鴻緒,2:16.5,クビ,**,**,**,**,**,4-4-5-6,36.7,248.5,12.0,436(0),,,,436(0),,,202606020305,2026-03-07,芝,2200,稍重
7,5,9,アイスアイスベイビ,牡3,57.0,石川裕紀,2:16.6,3/4,**,**,**,**,**,9-10-10-10,36.5,41.2,6.0,470(0),,,,470(0),,,202606020305,2026-03-07,芝,2200,稍重
8,6,11,ミサダメキメル,牡3,54.0,遠藤汰月,2:16.7,1,**,**,**,**,**,16-15-17-14,36.0,266.0,13.0,454(-2),,,,454(-2),,,202606020305,2026-03-07,芝,2200,稍重
9,7,15,ローレルエース,牡3,54.0,佐藤翔馬,2:16.9,1.1/4,**,**,**,**,**,15-15-9-6,36.9,410.2,17.0,468(+10),,,,468(+10),,,202606020305,2026-03-07,芝,2200,稍重
10,4,8,ヤマメナイト,牡3,57.0,吉田豊,2:17.0,クビ,**,**,**,**,**,12-12-14-12,36.6,153.2,10.0,472(-2),,,,472(-2),,,202606020305,2026-03-07,芝,2200,稍重
11,3,6,クリスタルドレス,牝3,55.0,江田照男,2:17.0,ハナ,**,**,**,**,**,9-8-10-10,36.9,446.5,18.0,416(-10),,,,416(-10),,,202606020305,2026-03-07,芝,2200,稍重
12,7,13,バッカステソーロ,牡3,57.0,大野拓弥,2:17.0,クビ,**,**,**,**,**,17-18-14-12,36.7,57.1,8.0,458(0),,,,458(0),,,202606020305,2026-03-07,芝,2200,稍重
13,7,14,ラクシオンデクラ,牡3,54.0,舟山瑠泉,2:17.4,2,**,**,**,**,**,17-15-17-17,36.8,164.0,11.0,436(-2),,,,436(-2),,,202606020305,2026-03-07,芝,2200,稍重
14,4,7,サクラピアチェーレ,セ3,57.0,菊沢一樹,2:17.7,2,**,**,**,**,**,7-8-10-14,37.6,278.3,15.0,496(+4),,,,496(+4),,,202606020305,2026-03-07,芝,2200,稍重
15,1,1,ニシノカーロ,牡3,57.0,原田和真,2:17.9,1,**,**,**,**,**,12-12-14-17,37.5,293.2,16.0,472(-4),,,,472(-4),,,202606020305,2026-03-07,芝,2200,稍重
16,8,16,ブリサマリーナ,牝3,55.0,田辺裕信,2:17.9,ハナ,**,**,**,**,**,4-4-4-6,38.2,52.9,7.0,460(-6),,,,460(-6),,,202606020305,2026-03-07,芝,2200,稍重
17,2,3,レディトゥランブル,牡3,57.0,岩田康誠,2:18.7,5,**,**,**,**,**,1-1-1-2,39.2,271.1,14.0,556(+8),,,,556(+8),,,202606020305,2026-03-07,芝,2200,稍重
18,8,18,ラスターヴァース,牝3,55.0,木幡巧也,2:19.1,2,**,**,**,**,**,12-12-10-14,39.0,81.7,9.0,470(-2),,,,470(-2),,,202606020305,2026-03-07,芝,2200,稍重
1,5,9,サムシングスイート,牝3,55.0,岩田望来,2:03.1,,**,**,**,**,**,6-6-3-2,35.7,2.8,2.0,494(-4),,,,494(-4),,590.0,202606020306,2026-03-07,芝,2000,稍重
2,5,10,クレアノア,牝3,55.0,戸崎圭太,2:03.6,3,**,**,**,**,**,10-8-7-6,36.0,8.0,3.0,408(+2),,,,408(+2),,240.0,202606020306,2026-03-07,芝,2000,稍重
3,1,1,エリュグレイス,牝3,55.0,横山和生,2:03.7,3/4,**,**,**,**,**,6-6-7-8,36.0,2.2,1.0,464(-4),,,,464(-4),,150.0,202606020306,2026-03-07,芝,2000,稍重
4,7,13,ヴェニゼロス,牝3,52.0,舟山瑠泉,2:03.8,1/2,**,**,**,**,**,17-17-17-16,35.2,70.6,9.0,424(0),,,,424(0),,89.0,202606020306,2026-03-07,芝,2000,稍重
5,4,8,コスモナエマ,牝3,55.0,津村明秀,2:03.8,アタマ,**,**,**,**,**,5-5-5-4,36.3,20.8,6.0,480(-6),,,,480(-6),,59.0,202606020306,2026-03-07,芝,2000,稍重
6,4,7,オーブレーヌ,牝3,52.0,石神深道,2:04.0,3/4,**,**,**,**,**,14-14-14-14,35.7,134.1,11.0,388(0),,,,388(0),,,202606020306,2026-03-07,芝,2000,稍重
7,3,5,コンフィグシス,牝3,55.0,丸田恭介,2:04.0,ハナ,**,**,**,**,**,12-12-11-11,36.1,91.6,10.0,450(0),,,,450(0),,,202606020306,2026-03-07,芝,2000,稍重
8,8,18,セシルブリュネ,牝3,55.0,横山武史,2:04.0,ハナ,**,**,**,**,**,2-2-2-2,36.7,8.8,4.0,396(+10),,,,396(+10),,,202606020306,2026-03-07,芝,2000,稍重
9,2,3,チョコスコーン,牝3,55.0,菊沢一樹,2:04.1,1/2,**,**,**,**,**,10-8-11-11,36.1,234.8,15.0,400(-12),,,,400(-12),,,202606020306,2026-03-07,芝,2000,稍重
10,3,6,シルバープレミア,牝3,55.0,横山典弘,2:04.4,1.3/4,**,**,**,**,**,8-8-7-8,36.7,38.5,7.0,384(-12),,,,384(-12),,,202606020306,2026-03-07,芝,2000,稍重
11,2,4,カサナルキセキ,牝3,55.0,石橋脩,2:04.4,アタマ,**,**,**,**,**,1-1-1-1,37.2,264.6,17.0,460(+2),,,,460(+2),,,202606020306,2026-03-07,芝,2000,稍重
12,7,14,ファンシーシェイプ,牝3,55.0,丸山元気,2:04.6,1,**,**,**,**,**,14-14-14-13,36.3,242.8,16.0,444(+2),,,,444(+2),,,202606020306,2026-03-07,芝,2000,稍重
13,8,16,ライトハウス,牝3,55.0,田辺裕信,2:04.7,1,**,**,**,**,**,14-14-14-16,36.4,168.9,12.0,462(-12),,,,462(-12),,,202606020306,2026-03-07,芝,2000,稍重
14,6,12,イバラヒメ,牝3,52.0,小林美駒,2:04.9,1,**,**,**,**,**,8-8-7-10,37.2,182.2,13.0,450(+2),,,,450(+2),,,202606020306,2026-03-07,芝,2000,稍重
15,6,11,トパーズテソーロ,牝3,55.0,原優介,2:05.2,1.1/2,**,**,**,**,**,3-3-3-4,37.8,216.7,14.0,446(-4),,,,446(-4),,,202606020306,2026-03-07,芝,2000,稍重
16,7,15,メジロピオラ,牝3,55.0,三浦皇成,2:05.2,ハナ,**,**,**,**,**,12-12-11-14,37.2,16.3,5.0,474(+4),,,,474(+4),,,202606020306,2026-03-07,芝,2000,稍重
17,1,2,アリアファブラ,牝3,55.0,丹内祐次,2:05.7,3,**,**,**,**,**,3-3-5-6,38.2,58.8,8.0,410(-2),,,,410(-2),,,202606020306,2026-03-07,芝,2000,稍重
18,8,17,アジャイブ,牝3,52.0,石田拓郎,2:06.0,1.3/4,**,**,**,**,**,17-18-18-18,36.8,668.4,18.0,456(-4),,,,456(-4),,,202606020306,2026-03-07,芝,2000,稍重
1,6,12,レッドスティンガー,牡3,57.0,戸崎圭太,1:10.4,,**,**,**,**,**,6-3,36.9,2.0,1.0,458(-12),,,,458(-12),,820.0,202606020307,2026-03-07,ダ,1200,重
2,2,3,ライヴレッドアイ,牝3,55.0,木幡巧也,1:10.5,1/2,**,**,**,**,**,1-1,37.7,5.4,3.0,492(-2),,,,492(-2),,330.0,202606020307,2026-03-07,ダ,1200,重
3,3,5,アンティミスト,牡3,57.0,津村明秀,1:11.4,5,**,**,**,**,**,8-12,37.6,66.9,10.0,520(-6),,,,520(-6),,210.0,202606020307,2026-03-07,ダ,1200,重
4,2,4,ウォーターサグラダ,牡3,57.0,ルメール,1:11.4,ハナ,**,**,**,**,**,12-10,37.4,4.2,2.0,422(-8),,,,422(-8),,120.0,202606020307,2026-03-07,ダ,1200,重
5,4,7,スリーコーズ,牡3,54.0,佐藤翔馬,1:11.6,1.1/4,**,**,**,**,**,2-2,38.6,46.6,9.0,474(0),,,,474(0),,82.0,202606020307,2026-03-07,ダ,1200,重
6,5,10,アパタイトテソーロ,牝3,55.0,原優介,1:11.8,1.1/2,**,**,**,**,**,4-4,38.4,42.0,7.0,412(-6),,,,412(-6),,,202606020307,2026-03-07,ダ,1200,重
7,1,1,ヴァイオスペース,牡3,57.0,丹内祐次,1:12.0,3/4,**,**,**,**,**,8-7,38.2,29.6,5.0,458(-2),,,,458(-2),,,202606020307,2026-03-07,ダ,1200,重
8,7,13,トップマジシャン,牡3,57.0,石橋脩,1:12.0,ハナ,**,**,**,**,**,14-13,36.7,185.5,14.0,444(-4),,,,444(-4),,,202606020307,2026-03-07,ダ,1200,重
9,4,8,トワイライトサイト,牡3,57.0,横山和生,1:12.0,クビ,**,**,**,**,**,15-13,36.5,43.4,8.0,420(-4),,,,420(-4),,,202606020307,2026-03-07,ダ,1200,重
10,3,6,ドナソール,牝3,52.0,大久保友,1:12.2,3/4,**,**,**,**,**,8-10,38.4,197.4,15.0,466(-2),,,,466(-2),,,202606020307,2026-03-07,ダ,1200,重
11,6,11,スローモーション,牝3,55.0,長岡禎仁,1:12.2,ハナ,**,**,**,**,**,7-7,38.5,131.8,13.0,384(-4),,,,384(-4),,,202606020307,2026-03-07,ダ,1200,重
12,8,15,カリヨンアヴォン,牝3,55.0,岩田望来,1:12.6,2.1/2,**,**,**,**,**,8-7,38.8,6.7,4.0,432(-8),,,,432(-8),,,202606020307,2026-03-07,ダ,1200,重
13,5,9,ディープスリー,牡3,57.0,佐々木大,1:13.4,5,**,**,**,**,**,4-5,40.0,32.2,6.0,512(+4),,,,512(+4),,,202606020307,2026-03-07,ダ,1200,重
14,1,2,ノースブルースカイ,牝3,55.0,松岡正海,1:13.8,2.1/2,**,**,**,**,**,3-5,40.6,78.3,11.0,408(-8),,,,408(-8),,,202606020307,2026-03-07,ダ,1200,重
15,7,14,ロードストラダーレ,牡3,57.0,丸田恭介,1:13.8,ハナ,**,**,**,**,**,12-15,39.7,85.1,12.0,500(+2),,,,500(+2),,,202606020307,2026-03-07,ダ,1200,重
除,8,16,ジャスパーメルチェ,牝3,55.0,横山武史,,,,,,,,,,---,,472(-14),,,,472(-14),,,202606020307,2026-03-07,ダ,1200,重
1,4,5,ホークライト,セ4,58.0,ルメール,1:53.7,,**,**,**,**,**,3-2-2-1,37.8,1.4,1.0,488(0),,,,488(0),,820.0,202606020308,2026-03-07,ダ,1800,重
2,4,6,ディースプレマシー,牡4,58.0,石橋脩,1:54.9,7,**,**,**,**,**,9-8-4-4,38.8,93.7,10.0,456(-2),,,,456(-2),,330.0,202606020308,2026-03-07,ダ,1800,重
3,3,3,フェスタリア,牡4,58.0,原優介,1:55.0,3/4,**,**,**,**,**,10-10-9-6,38.1,17.4,5.0,454(0),,,,454(0),,210.0,202606020308,2026-03-07,ダ,1800,重
4,7,11,オウケンシルヴァー,牡5,58.0,木幡育也,1:55.4,2,**,**,**,**,**,10-10-11-10,38.1,6.1,2.0,498(-2),,,,498(-2),,120.0,202606020308,2026-03-07,ダ,1800,重
5,6,9,クニノハッピー,牡4,58.0,横山琉人,1:55.7,2,**,**,**,**,**,6-4-4-3,39.5,8.2,3.0,482(+8),,,,482(+8),,82.0,202606020308,2026-03-07,ダ,1800,重
6,6,10,サムワンライクユー,牡6,58.0,江田照男,1:56.1,2,**,**,**,**,**,4-4-6-7,39.7,59.2,9.0,496(0),,,,496(0),,,202606020308,2026-03-07,ダ,1800,重
7,8,13,カージオイド,牡4,58.0,佐々木大,1:56.3,1.1/2,**,**,**,**,**,2-2-1-2,40.4,17.5,6.0,520(-10),,,,520(-10),,,202606020308,2026-03-07,ダ,1800,重
8,1,1,ブリスフル,牡5,58.0,木幡初也,1:56.5,1,**,**,**,**,**,8-8-7-7,39.8,439.6,14.0,508(-2),,,,508(-2),,,202606020308,2026-03-07,ダ,1800,重
9,5,8,プレジール,牡5,58.0,松岡正海,1:56.5,ハナ,**,**,**,**,**,13-12-10-9,39.5,17.4,4.0,494(+6),,,,494(+6),,,202606020308,2026-03-07,ダ,1800,重
10,2,2,プルメリアクヒオ,牡5,56.0,長浜鴻緒,1:56.6,1,**,**,**,**,**,4-4-11-11,39.3,49.1,8.0,470(-4),,,,470(-4),,,202606020308,2026-03-07,ダ,1800,重
11,8,14,ファーマシャイン,牝5,53.0,小林美駒,1:56.8,1,**,**,**,**,**,12-12-14-13,39.2,234.0,11.0,452(-10),,,,452(-10),,,202606020308,2026-03-07,ダ,1800,重
12,7,12,キャストロペペ,牡5,55.0,遠藤汰月,1:56.9,クビ,**,**,**,**,**,1-1-2-4,41.0,21.6,7.0,476(+6),,,,476(+6),,,202606020308,2026-03-07,ダ,1800,重
13,3,4,オウケンヴィーナス,牝5,53.0,佐藤翔馬,1:57.2,2,**,**,**,**,**,14-14-13-13,39.7,287.6,12.0,418(+12),,,,418(+12),,,202606020308,2026-03-07,ダ,1800,重
14,5,7,ミルトパワー,牡5,58.0,菊沢一樹,2:01.0,大,**,**,**,**,**,6-4-7-11,44.3,292.6,13.0,534(+24),,,,534(+24),,,202606020308,2026-03-07,ダ,1800,重
1,8,12,カエルム,牡5,56.0,横山和生,2:33.9,,**,**,**,**,**,8-2-1-1,37.5,21.2,6.0,472(+2),,,,472(+2),,"1,608.0",202606020309,2026-03-07,芝,2500,稍重
2,4,5,サラトガチップス,牡5,55.0,岩田望来,2:34.1,1.1/4,**,**,**,**,**,6-7-7-6,37.1,13.9,4.0,436(-12),,,,436(-12),,638.0,202606020309,2026-03-07,芝,2500,稍重
3,6,8,ピックデムッシュ,牡4,57.0,ルメール,2:34.3,3/4,**,**,**,**,**,2-2-2-2,37.8,1.4,1.0,460(-2),,,,460(-2),,404.0,202606020309,2026-03-07,芝,2500,稍重
4,7,11,ラーシャローム,牡4,54.0,石川裕紀,2:34.6,2,**,**,**,**,**,10-12-11-11,36.9,52.1,9.0,480(0),,,,480(0),,240.0,202606020309,2026-03-07,芝,2500,稍重
5,5,6,オールマイデイズ,牡6,56.0,津村明秀,2:34.7,クビ,**,**,**,**,**,6-7-7-6,37.7,9.5,3.0,498(-6),,,,498(-6),,158.0,202606020309,2026-03-07,芝,2500,稍重
6,7,10,ヴァイザーバルコ,セ6,55.0,丸田恭介,2:34.9,1.1/2,**,**,**,**,**,12-9-2-3,38.4,55.2,10.0,476(+10),,,,476(+10),,,202606020309,2026-03-07,芝,2500,稍重
7,4,4,ソワドリヨン,牝6,53.0,丸山元気,2:35.0,3/4,**,**,**,**,**,8-9-9-9,37.6,96.9,11.0,482(-4),,,,482(-4),,,202606020309,2026-03-07,芝,2500,稍重
8,3,3,トクシースタローン,牡7,55.0,木幡巧也,2:35.2,1,**,**,**,**,**,11-11-9-9,37.8,105.2,12.0,516(0),,,,516(0),,,202606020309,2026-03-07,芝,2500,稍重
9,6,9,レーヴドロペラ,牝4,53.0,戸崎圭太,2:35.2,クビ,**,**,**,**,**,3-4-4-3,38.5,6.5,2.0,466(+6),,,,466(+6),,,202606020309,2026-03-07,芝,2500,稍重
10,2,2,クリフハンガー,セ5,55.0,田辺裕信,2:35.3,1/2,**,**,**,**,**,4-5-4-3,38.6,14.2,5.0,450(0),,,,450(0),,,202606020309,2026-03-07,芝,2500,稍重
11,8,13,ヴィブラツィオーネ,セ7,53.0,吉田豊,2:35.8,3,**,**,**,**,**,12-13-11-11,38.1,165.3,13.0,472(-6),,,,472(-6),,,202606020309,2026-03-07,芝,2500,稍重
12,5,7,エーオーキング,牡4,54.0,佐々木大,2:35.9,3/4,**,**,**,**,**,1-1-6-8,39.1,35.4,7.0,460(+8),,,,460(+8),,,202606020309,2026-03-07,芝,2500,稍重
中,1,1,ワイズゴールド,牝6,52.0,江田照男,,,,,,,,4-5,,48.2,8.0,430(-6),,,,430(-6),,,202606020309,2026-03-07,芝,2500,稍重
1,7,11,マーズオデッセイ,牡4,58.0,三浦皇成,1:51.8,,**,**,**,**,**,11-11-11-9,37.6,15.4,8.0,516(-8),,,,516(-8),,"1,901.5",202606020310,2026-03-07,ダ,1800,重
2,8,13,エクリプスルバン,セ5,58.0,佐々木大,1:51.9,1,**,**,**,**,**,3-3-3-3,38.5,7.4,4.0,442(-8),,,,442(-8),,759.0,202606020310,2026-03-07,ダ,1800,重
3,5,8,ドバイブルース,牡5,58.0,ルメール,1:52.0,1/2,**,**,**,**,**,10-10-9-6,38.0,5.5,3.0,502(-6),,,,502(-6),,474.5,202606020310,2026-03-07,ダ,1800,重
4,6,9,シンビリーブ,牡4,58.0,団野大成,1:52.5,2.1/2,**,**,**,**,**,2-2-2-1,39.8,3.8,1.0,530(-6),,,,530(-6),,280.0,202606020310,2026-03-07,ダ,1800,重
5,7,12,ラフエイジアン,セ6,58.0,岩田康誠,1:52.6,1/2,**,**,**,**,**,11-11-12-12,38.2,20.0,9.0,462(0),,,,462(0),,187.0,202606020310,2026-03-07,ダ,1800,重
6,1,1,ホウオウバリスタ,牡7,58.0,横山武史,1:52.7,1,**,**,**,**,**,7-8-9-9,38.6,11.9,6.0,528(-4),,,,528(-4),,,202606020310,2026-03-07,ダ,1800,重
7,8,14,メイショウソウタ,牡5,58.0,菱田裕二,1:53.0,1.1/2,**,**,**,**,**,5-5-4-4,39.4,15.1,7.0,524(-6),,,,524(-6),,,202606020310,2026-03-07,ダ,1800,重
8,3,4,デコラシオン,牡7,58.0,戸崎圭太,1:53.3,2,**,**,**,**,**,4-3-4-4,39.8,8.3,5.0,510(-8),,,,510(-8),,,202606020310,2026-03-07,ダ,1800,重
9,4,6,サンセットブライト,牝5,56.0,横山琉人,1:53.6,1.1/2,**,**,**,**,**,9-8-6-6,39.8,115.8,13.0,492(-2),,,,492(-2),,,202606020310,2026-03-07,ダ,1800,重
10,4,5,ゴールドアローン,牝5,56.0,菊沢一樹,1:53.9,1.3/4,**,**,**,**,**,6-6-6-6,40.1,32.3,10.0,474(0),,,,474(0),,,202606020310,2026-03-07,ダ,1800,重
11,6,10,ハッスルダンク,セ6,58.0,江田照男,1:54.0,1/2,**,**,**,**,**,13-13-13-13,39.2,35.5,11.0,448(+2),,,,448(+2),,,202606020310,2026-03-07,ダ,1800,重
12,5,7,ウィステリアリヴァ,牡6,58.0,石橋脩,1:54.2,1.1/4,**,**,**,**,**,7-7-6-9,40.4,37.2,12.0,500(-2),,,,500(-2),,,202606020310,2026-03-07,ダ,1800,重
13,3,3,ウィンドフォール,牡5,58.0,木幡巧也,1:55.9,10,**,**,**,**,**,1-1-1-2,43.2,5.3,2.0,490(+10),,,,490(+10),,,202606020310,2026-03-07,ダ,1800,重
中,2,2,ビップスコーピオン,牡6,58.0,丸山元気,,,,,,,,,,122.2,14.0,456(+4),,,,456(+4),,,202606020310,2026-03-07,ダ,1800,重
1,2,3,エセルフリーダ,牝5,53.0,武藤雅,1:47.1,,**,**,**,**,**,2-2-2-2,35.9,15.3,6.0,482(-6),,,,482(-6),,"3,856.7",202606020311,2026-03-07,芝,1800,稍重
2,1,2,ビヨンドザヴァレー,牝6,55.0,菱田裕二,1:47.3,1.1/4,**,**,**,**,**,5-4-4-4,35.7,28.8,11.0,474(+11),,,,474(+11),,"1,516.2",202606020311,2026-03-07,芝,1800,稍重
3,2,4,パラディレーヌ,牝4,56.5,岩田望来,1:47.3,ハナ,**,**,**,**,**,7-6-6-5,35.3,5.3,3.0,504(-4),,,,504(-4),,958.1,202606020311,2026-03-07,芝,1800,稍重
4,7,13,エリカエクスプレス,牝4,56.0,武豊,1:47.3,クビ,**,**,**,**,**,2-3-3-3,35.9,5.5,4.0,472(+10),,,,472(+10),,570.0,202606020311,2026-03-07,芝,1800,稍重
5,7,14,ニシノティアモ,牝5,56.0,津村明秀,1:47.3,クビ,**,**,**,**,**,10-12-10-9,35.1,4.8,2.0,448(+4),,,,448(+4),,380.0,202606020311,2026-03-07,芝,1800,稍重
6,8,16,レーゼドラマ,牝4,55.5,丹内祐次,1:47.4,クビ,**,**,**,**,**,1-1-1-1,36.3,17.0,7.0,476(+2),,,,476(+2),,,202606020311,2026-03-07,芝,1800,稍重
7,5,9,ステレンボッシュ,牝5,57.5,ルメール,1:47.7,1.3/4,**,**,**,**,**,14-15-13-13,35.3,23.4,9.0,482(+10),,,,482(+10),,,202606020311,2026-03-07,芝,1800,稍重
8,8,15,ケリフレッドアスク,牝4,55.0,佐々木大,1:47.7,ハナ,**,**,**,**,**,10-13-13-13,35.2,61.4,13.0,454(-2),,,,454(-2),,,202606020311,2026-03-07,芝,1800,稍重
9,6,12,ポルカリズム,牝6,53.0,三浦皇成,1:47.7,ハナ,**,**,**,**,**,10-10-8-8,35.6,25.2,10.0,484(-4),,,,484(-4),,,202606020311,2026-03-07,芝,1800,稍重
10,3,5,ボンドガール,牝5,55.5,岩田康誠,1:47.7,アタマ,**,**,**,**,**,14-13-13-12,35.3,13.0,5.0,454(-2),,,,454(-2),,,202606020311,2026-03-07,芝,1800,稍重
11,3,6,アンリーロード,牝6,52.0,石川裕紀,1:47.8,1/2,**,**,**,**,**,10-8-10-9,35.6,218.9,16.0,480(+2),,,,480(+2),,,202606020311,2026-03-07,芝,1800,稍重
12,4,7,フレミングフープ,牝5,54.0,杉原誠人,1:47.9,クビ,**,**,**,**,**,4-4-5-5,36.2,17.2,8.0,492(+2),,,,492(+2),,,202606020311,2026-03-07,芝,1800,稍重
13,5,10,アンゴラブラック,牝5,56.0,戸崎圭太,1:48.4,3,**,**,**,**,**,5-6-6-7,36.5,4.2,1.0,474(-6),,,,474(-6),,,202606020311,2026-03-07,芝,1800,稍重
14,6,11,フィールシンパシー,牝7,53.0,横山琉人,1:48.5,1/2,**,**,**,**,**,8-10-10-13,36.3,136.2,15.0,468(+8),,,,468(+8),,,202606020311,2026-03-07,芝,1800,稍重
15,1,1,クリノメイ,牝4,55.0,横山典弘,1:48.8,1.3/4,**,**,**,**,**,16-16-16-16,35.6,36.7,12.0,450(-4),,,,450(-4),,,202606020311,2026-03-07,芝,1800,稍重
16,4,8,レディーヴァリュー,牝5,54.0,団野大成,1:48.9,1/2,**,**,**,**,**,8-8-8-9,36.8,77.9,14.0,448(-10),,,,448(-10),,,202606020311,2026-03-07,芝,1800,稍重
1,2,4,レッドレナート,牡5,58.0,横山和生,1:34.0,,**,**,**,**,**,1-1-1,36.3,7.2,3.0,494(-6),,,,494(-6),,820.0,202606020312,2026-03-07,芝,1600,稍重
2,2,3,アンダーザライト,牡4,58.0,団野大成,1:34.1,1/2,**,**,**,**,**,3-2-2,36.4,19.4,7.0,534(+6),,,,534(+6),,330.0,202606020312,2026-03-07,芝,1600,稍重
3,4,8,ブラックジェダイト,牡4,58.0,佐々木大,1:34.1,ハナ,**,**,**,**,**,7-7-6,36.0,2.1,1.0,466(-2),,,,466(-2),,210.0,202606020312,2026-03-07,芝,1600,稍重
4,6,12,ユーティジャーニー,牝4,54.0,長浜鴻緒,1:34.2,1/2,**,**,**,**,**,10-10-10,35.8,36.8,10.0,432(+12),,,,432(+12),,120.0,202606020312,2026-03-07,芝,1600,稍重
5,1,2,ライネリーベ,牝4,56.0,戸崎圭太,1:34.2,ハナ,**,**,**,**,**,3-5-4,36.2,5.2,2.0,428(+18),,,,428(+18),,82.0,202606020312,2026-03-07,芝,1600,稍重
6,7,13,キアラメンテ,牝4,56.0,三浦皇成,1:34.4,1,**,**,**,**,**,7-9-7,36.1,14.6,5.0,448(+4),,,,448(+4),,,202606020312,2026-03-07,芝,1600,稍重
7,3,5,ゴーゴータカシ,セ4,58.0,岩田康誠,1:34.4,ハナ,**,**,**,**,**,13-11-10,35.9,37.5,11.0,486(-4),,,,486(-4),,,202606020312,2026-03-07,芝,1600,稍重
8,5,10,ドルビナ,牡4,58.0,大野拓弥,1:34.5,1/2,**,**,**,**,**,13-13-13,35.8,73.8,13.0,464(-4),,,,464(-4),,,202606020312,2026-03-07,芝,1600,稍重
9,4,7,チョングク,牡4,58.0,江田照男,1:34.7,1.1/4,**,**,**,**,**,15-13-13,36.0,284.1,14.0,480(-6),,,,480(-6),,,202606020312,2026-03-07,芝,1600,稍重
10,3,6,ラヴスコール,牝5,56.0,菱田裕二,1:34.9,1.1/4,**,**,**,**,**,11-13-13,36.2,43.0,12.0,420(-6),,,,420(-6),,,202606020312,2026-03-07,芝,1600,稍重
11,8,16,トレヴィ,牝4,56.0,武豊,1:35.0,1/2,**,**,**,**,**,11-11-10,36.5,17.9,6.0,446(+2),,,,446(+2),,,202606020312,2026-03-07,芝,1600,稍重
12,6,11,キャトルエピス,牝4,56.0,岩田望来,1:35.2,1.1/4,**,**,**,**,**,7-4-4,37.3,12.4,4.0,456(+2),,,,456(+2),,,202606020312,2026-03-07,芝,1600,稍重
13,5,9,ランスロット,セ5,58.0,丹内祐次,1:35.2,アタマ,**,**,**,**,**,15-16-16,36.2,377.2,15.0,470(+6),,,,470(+6),,,202606020312,2026-03-07,芝,1600,稍重
14,8,15,レッドロスタム,牡6,55.0,舟山瑠泉,1:35.3,1/2,**,**,**,**,**,3-2-3,37.5,23.5,9.0,500(-8),,,,500(-8),,,202606020312,2026-03-07,芝,1600,稍重
15,7,14,ウーバーストロング,牡4,55.0,遠藤汰月,1:35.8,3,**,**,**,**,**,3-7-7,37.6,397.5,16.0,462(0),,,,462(0),,,202606020312,2026-03-07,芝,1600,稍重
16,1,1,ティティナ,牝4,53.0,小林美駒,1:35.8,クビ,**,**,**,**,**,2-5-7,37.8,20.9,8.0,420(+2),,,,420(+2),,,202606020312,2026-03-07,芝,1600,稍重
1,8,16,ステイグローリアス,牝3,55.0,松岡正海,1:57.9,,**,**,**,**,**,12-10-7-4,41.0,17.5,7.0,474(0),,,,474(0),,590.0,202606020401,2026-03-08,ダ,1800,稍重
2,7,14,キタノエピックアン,牝3,52.0,上里直汰,1:57.9,アタマ,**,**,**,**,**,3-4-3-4,41.4,4.6,2.0,452(0),,,,452(0),,240.0,202606020401,2026-03-08,ダ,1800,稍重
3,8,15,セニング,牝3,55.0,田辺裕信,1:58.4,2.1/2,**,**,**,**,**,3-2-3-2,42.0,33.0,10.0,456(+8),,,,456(+8),,150.0,202606020401,2026-03-08,ダ,1800,稍重
4,2,4,サーロー,牝3,55.0,菊沢一樹,1:58.4,クビ,**,**,**,**,**,6-6-5-6,41.6,43.7,11.0,486(+2),,,,486(+2),,89.0,202606020401,2026-03-08,ダ,1800,稍重
5,6,12,ペタルズダンス,牝3,55.0,矢野貴之,1:58.5,クビ,**,**,**,**,**,10-10-9-9,41.2,25.8,9.0,450(-2),,,,450(-2),,59.0,202606020401,2026-03-08,ダ,1800,稍重
6,6,11,ルミテュット,牝3,55.0,岩田康誠,1:58.5,クビ,**,**,**,**,**,2-2-2-2,42.3,3.5,1.0,500(0),,,,500(0),,,202606020401,2026-03-08,ダ,1800,稍重
7,4,8,スターキャンディ,牝3,55.0,小林脩斗,1:58.8,1.1/2,**,**,**,**,**,6-6-9-7,41.6,231.4,14.0,476(0),,,,476(0),,,202606020401,2026-03-08,ダ,1800,稍重
8,7,13,トランセンコ,牝3,55.0,木幡育也,1:58.9,1/2,**,**,**,**,**,9-9-11-11,41.5,327.4,16.0,450(+2),,,,450(+2),,,202606020401,2026-03-08,ダ,1800,稍重
