着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,"ﾀｲﾑ指数


タイム指数(通常)
タイム指数マスター","ﾀｲﾑ指数M


タイム指数(通常)
タイム指数マスター",ｽﾀｰﾄ指数,追走指数,上がり指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),race_id,category
7,8,8,ドラゴステ,牝5,54,藤原幹生,1:32.3,アタマ,**,-,-,-,-,9-9-7,40.0,78.8,9,453(+1),,,,"[地]
後藤佑耶",内山一郎,,202447050808,NAR
8,5,5,ニャー,牝4,51,松本一心,1:32.9,3,**,-,-,-,-,3-2-3,43.6,8.7,4,408(-4),,,,"[地]
加藤幸保",内田玄祥,,202447050808,NAR
9,4,4,モーニングフジ,牝6,54,森島貴之,1:33.9,5,**,-,-,-,-,2-4-9,44.6,4.5,3,425(-3),,,,"[地]
水野善太",戸部昌洋,,202447050808,NAR
除,1,1,タカマルカート,牝3,53,藤江渉,,,,-,-,-,-,,,---,,411(+2),,,,"[地]
岩本洋",堀江貞幸,,202445050804,NAR
除,2,2,パドゥドゥ,牡3,56,岡村健司,,,,-,-,-,-,,,---,,451(-3),,,,"[地]
張田京",吉田千津,,202445050804,NAR
除,3,3,トコトコトッコトコ,牝3,52,及川烈,,,,-,-,-,-,,,---,,483(-15),,,,"[地]
宇野木博",内田玄祥,,202445050804,NAR
除,4,4,チャーミングビビ,牝3,54,笹川翼,,,,-,-,-,-,,,---,,431(+1),,,,"[地]
田辺陽一",山下晃徳,,202445050804,NAR
除,5,5,マメゾウドリーム,牝3,53,増田充宏,,,,-,-,-,-,,,---,,409(+9),,,,"[地]
加藤誠一",久保直樹,,202445050804,NAR
除,5,6,イソエヴィクラント,牡3,56,新原周馬,,,,-,-,-,-,,,---,,462(+1),,,,"[地]
鈴木義久",磯部敏夫,,202445050804,NAR
除,6,7,モンルネ,牝3,50,佐野遥久,,,,-,-,-,-,,,---,,409(-4),,,,"[地]
鈴木義久",門澤慎,,202445050804,NAR
除,6,8,ドナデュボア,牝3,54,森泰斗,,,,-,-,-,-,,,---,,425(+9),,,,"[地]
佐々木仁",小川眞査雄,,202445050804,NAR
除,7,9,トリオ,牡3,56,中越琉世,,,,-,-,-,-,,,---,,419(0),,,,"[地]
佐藤博紀",小池保則,,202445050804,NAR
除,7,10,ボレロオブソロウ,牝3,54,野畑凌,,,,-,-,-,-,,,---,,434(+7),,,,"[地]
久保秀男",石瀬浩三,,202445050804,NAR
除,8,11,シノブデスティーノ,牝3,53,田中涼,,,,-,-,-,-,,,---,,425(-1),,,,"[地]
鈴木義久",小沼一成,,202445050804,NAR
除,8,12,シルヴァーリップ,牝3,53,伊藤裕人,,,,-,-,-,-,,,---,,426(+3),,,,"[地]
林隆之",（有）ターフ・スポ,,202445050804,NAR
1,2,2,ルリオウ,牡6,56,岡部誠,1:44.1,,**,-,-,-,-,1-1-1,39.3,1.0,1,512(-3),,,,"[地]
田口輝彦",吉田勝利,42.0,202447050805,NAR
2,4,4,ポーラーナイト,牝4,51,明星晴大,1:48.1,大,**,-,-,-,-,2-2-2,42.6,35.5,6,478(+1),,,,"[地]
栗本陽一",福永實,14.7,202447050805,NAR
3,1,1,クリーンゲーム,牡5,56,東川慎,1:48.8,3,**,-,-,-,-,3-4-4,42.8,32.0,5,431(+3),,,,"[地]
伊藤強一",鈴木和彦,8.4,202447050805,NAR
4,7,7,エンライ,牝5,54,馬渕繁治,1:48.9,3/4,**,-,-,-,-,4-3-3,43.0,11.9,3,453(+1),,,,"[地]
森山英雄",江川伸夫,4.2,202447050805,NAR
5,5,5,インテンシティ,牡5,53,松本一心,1:49.1,1,**,-,-,-,-,7-7-6,41.3,11.6,2,481(0),,,,"[地]
加藤幸保",山内晃,2.1,202447050805,NAR
6,3,3,フレンドキョー,牝5,54,森島貴之,1:49.1,クビ,**,-,-,-,-,6-6-7,41.7,116.9,8,411(-1),,,,"[地]
加藤幸保",横尾晴人,,202447050805,NAR
7,8,8,ビルボードライブ,牝5,53,大畑慧悟,1:50.3,6,**,-,-,-,-,5-5-5,43.7,67.2,7,431(+3),,,,"[地]
水野善太",小橋亮太,,202447050805,NAR
8,8,9,アップリュウジン,牡6,56,向山牧,1:50.9,3,**,-,-,-,-,9-9-8,42.5,21.8,4,464(-3),,,,"[地]
大橋敬永",田口順子,,202447050805,NAR
9,6,6,ハナウタマジリ,牝6,52,深澤杏花,1:51.3,2,**,-,-,-,-,8-8-9,43.5,195.7,9,465(-2),,,,"[地]
伊藤勝好",（有）ホースケア,,202447050805,NAR
1,7,8,オニユリ,牝4,54,塚本征吾,1:29.5,,**,-,-,-,-,1-1-1,38.7,1.3,1,464(+8),,,,"[地]
藤田正治",組）リノレーシング,50.0,202447050812,NAR
2,8,9,サトノジーク,牡5,56,渡辺竜也,1:31.4,9,**,-,-,-,-,2-2-2,40.2,5.3,2,503(-3),,,,"[地]
笹野博司",里見治,17.5,202447050812,NAR
3,4,4,アグネスプリンセス,牝5,52,宮下瞳,1:31.6,3/4,**,-,-,-,-,7-4-4,39.4,22.1,6,412(+1),,,,"[地]
藤田正治",高木毅,10.0,202447050812,NAR
4,3,3,ユレマー,牝4,54,大原浩司,1:31.8,1.1/2,**,-,-,-,-,3-3-3,40.2,20.1,5,418(-6),,,,"[地]
森山英雄",西岡透,5.0,202447050812,NAR
5,8,10,メイショウスイケイ,牡4,56,岡部誠,1:32.8,5,**,-,-,-,-,8-8-8,39.8,8.6,3,458(0),,,,"[地]
伊藤強一",（同）ＪＰＮ技研,2.5,202447050812,NAR
6,7,7,ガルフォート,セ6,56,藤原幹生,1:32.8,ハナ,**,-,-,-,-,9-9-9,39.6,53.8,7,435(+1),,,,"[地]
後藤正義",上手健太郎,,202447050812,NAR
7,5,5,マッチャンファイト,牡4,56,向山牧,1:32.8,クビ,**,-,-,-,-,6-7-7,40.4,14.1,4,454(-2),,,,"[地]
後藤正義",松本朋治,,202447050812,NAR
8,1,1,リコネクト,牝6,52,深澤杏花,1:33.6,4,**,-,-,-,-,5-6-6,41.4,58.2,8,453(0),,,,"[地]
後藤正義",杉岡弘和,,202447050812,NAR
9,2,2,ペイシャマカロン,牝4,51,松本一心,1:34.4,4,**,-,-,-,-,4-5-5,42.2,89.2,9,387(-5),,,,"[地]
栗本陽一",福永實,,202447050812,NAR
取,6,6,ジョブックフィオリ,牝5,53,室陽一朗,,,,-,-,-,-,,,---,,計不,,,,"[地]
栗本陽一",吉田勝利,,202447050812,NAR
1,8,9,カラウヌ,牝5,54,中越琉世,1:33.3,,**,-,-,-,-,2-2-2-1,41.7,5.7,3,465(+3),,,,"[地]
佐藤博紀",（株）ニッシンホー,80.0,202445050805,NAR
2,1,1,ハーモニージョーイ,牡7,56,森泰斗,1:33.4,3/4,**,-,-,-,-,8-7-5-2,41.4,2.2,1,475(+3),,,,"[地]
新井清重",日下部勝徳,32.0,202445050805,NAR
3,4,4,バジガクカルミア,牝7,54,今野忠成,1:33.4,クビ,**,-,-,-,-,7-8-6-5,41.2,2.8,2,410(+1),,,,"[地]
安池成実",（株）馬事学院,20.0,202445050805,NAR
4,6,6,ベニノエンゼル,牝7,54,秋元耕成,1:33.8,2,**,-,-,-,-,1-1-1-2,42.8,13.7,4,449(-4),,,,"[地]
海馬澤司",（株）紅谷,12.0,202445050805,NAR
5,2,2,アレアンサンブル,牝7,54,伊藤裕人,1:34.1,1.1/2,**,-,-,-,-,5-4-3-4,42.3,27.2,8,455(+3),,,,"[地]
甲田悟史",谷田部靖,8.0,202445050805,NAR
6,7,8,デイドリーミン,牝6,54,本田紀忠,1:35.0,4,**,-,-,-,-,10-10-10-9,42.3,140.1,10,492(+7),,,,"[地]
田島寿一",組）ゴッテスフルス,,202445050805,NAR
7,3,3,セイウンミレイア,牝7,54,藤江渉,1:35.5,2.1/2,**,-,-,-,-,6-5-8-7,43.5,91.3,9,479(+2),,,,"[地]
冨田敏男",冨田藤男,,202445050805,NAR
8,7,7,ケイティーユイ,牝6,54,福原杏,1:36.0,2.1/2,**,-,-,-,-,4-5-4-6,44.0,24.5,6,447(-8),,,,"[地]
水野貴史",竹之内康一,,202445050805,NAR
9,5,5,バーガンディ,牡6,56,新原周馬,1:36.3,1.1/2,**,-,-,-,-,9-9-9-8,43.8,25.6,7,484(0),,,,"[地]
高月賢一",山内晃,,202445050805,NAR
10,8,10,ゴールドオアハーツ,牡4,56,西啓太,1:36.5,3/4,**,-,-,-,-,3-3-6-10,44.5,14.4,5,495(-4),,,,"[地]
岩本洋",（同）クイック・ホー,,202445050805,NAR
1,4,4,リコースパロー,牡2,55,落合玄太,1:07.6,,**,-,-,-,-,1-1,37.1,4.5,3,488(0),,,,"[地]
川島洋人",土橋正雄,250.0,202430050803,NAR
2,7,7,マキシマムドライブ,牡2,55,服部茂史,1:09.3,8,**,-,-,-,-,6-4,38.1,2.1,1,514(0),,,,"[地]
田中淳司",（有）酒井牧場,70.0,202430050803,NAR
3,6,6,ツバクロ,牡2,55,石川倭,1:09.3,クビ,**,-,-,-,-,3-2,38.4,11.0,4,484(0),,,,"[地]
小国博行",西森鶴,52.5,202430050803,NAR
4,2,2,カセノタイガー,牡2,55,桑村真明,1:09.5,1,**,-,-,-,-,3-2,38.6,15.2,5,446(0),,,,"[地]
角川秀樹",平川進,35.0,202430050803,NAR
5,8,8,コンフォートデイズ,牡2,55,井上俊彦,1:09.7,3/4,**,-,-,-,-,5-5,38.6,45.0,9,488(0),,,,"[地]
櫻井拓章",蔀英二,17.5,202430050803,NAR
6,8,9,ルゾフォニア,牝2,55,阿部龍,1:10.3,3,**,-,-,-,-,7-8,38.6,18.5,6,386(0),,,,"[地]
佐々木国",伊達泰明,,202430050803,NAR
7,3,3,ハビビ,牡2,55,宮崎光行,1:11.7,7,**,-,-,-,-,8-7,40.0,30.8,7,498(0),,,,"[地]
松本隆宏",（有）新生ファーム,,202430050803,NAR
8,1,1,タカオスマイル,牡2,55,岩橋勇二,1:12.7,5,**,-,-,-,-,9-9,40.4,36.1,8,456(0),,,,"[地]
田中正二",藤沢亮輔,,202430050803,NAR
9,5,5,ブリスタイム,牡2,55,小野楓馬,1:12.9,1,**,-,-,-,-,2-5,42.1,3.5,2,454(0),,,,"[地]
小野望",（株）ＹＧＧホース,,202430050803,NAR
1,1,1,ニシケンボブ,牡4,57,石川倭,1:49.8,,**,-,-,-,-,3-3-3-3,37.5,1.0,1,488(-2),,,,"[地]
小国博行",西森鶴,200.0,202430050812,NAR
2,3,3,グリントビート,牡7,57,宮内勇樹,1:50.3,2.1/2,**,-,-,-,-,2-2-2-1,40.2,9.9,3,486(-4),,,,"[地]
川島洋人",中島雅春,56.0,202430050812,NAR
3,4,4,デアフルーグ,牡8,56,宮崎光行,1:50.4,1/2,**,-,-,-,-,4-4-4-4,37.9,7.5,2,524(-6),,,,"[地]
川島洋人",ウエスト．フォレスト,42.0,202430050812,NAR
4,5,5,ドテライヤツ,牡7,57,阿部龍,1:51.1,3,**,-,-,-,-,6-5-5-5,38.0,16.1,4,498(+14),,,,"[地]
角川秀樹",（株）ＭＭＣ,28.0,202430050812,NAR
5,6,6,ヤークトボマー,牡8,57,岩橋勇二,1:52.0,4,**,-,-,-,-,5-6-6-6,38.7,35.7,5,488(-10),,,,"[地]
小国博行",西森鶴,14.0,202430050812,NAR
6,2,2,リンノレジェンド,牡8,56,桑村真明,1:52.2,1,**,-,-,-,-,1-1-1-2,42.2,61.5,6,530(-2),,,,"[地]
角川秀樹",林正夫,,202430050812,NAR
1,2,2,ポルラノーチェ,牝3,55,落合玄太,1:49.7,,**,-,-,-,-,2-2-2-1,38.9,1.1,1,492(0),,,,"[地]
田中淳司",水上ふじ子,40.0,202430050808,NAR
2,1,1,ナッシングオンユー,牝6,55,亀井洋司,1:51.1,7,**,-,-,-,-,5-5-4-4,39.9,18.5,4,432(-4),,,,"[地]
斉藤正弘",高嶋哲,11.2,202430050808,NAR
3,8,9,ライルアケカイ,牡4,57,小野楓馬,1:51.4,1.1/2,**,-,-,-,-,4-4-4-3,40.3,20.9,5,482(-8),,,,"[地]
小野望",土井久美子,8.4,202430050808,NAR
4,3,3,フェッテ,牝5,55,石川倭,1:52.6,6,**,-,-,-,-,1-1-1-2,42.0,10.0,2,512(-14),,,,"[地]
小国博行",前田良平,5.6,202430050808,NAR
5,5,5,コパノキャスター,牡5,57,黒澤愛斗,1:52.8,1,**,-,-,-,-,9-9-8-8,41.0,14.3,3,486(+4),,,,"[地]
斉藤正弘",小林照弘,2.8,202430050808,NAR
6,4,4,サトノソラーレ,牡5,55,阿岸潤一,1:53.4,3,**,-,-,-,-,10-10-10-9,41.0,34.8,6,452(-2),,,,"[地]
佐々木国",福岡隆史,,202430050808,NAR
7,7,7,ラッシュエオリカ,牝4,55,岩橋勇二,1:53.5,1/2,**,-,-,-,-,7-7-7-7,41.9,46.0,9,416(+2),,,,"[地]
山田和久",（有）槇本牧場,,202430050808,NAR
8,8,10,デルマオクリダシ,牡4,57,桑村真明,1:53.7,1,**,-,-,-,-,3-3-3-4,42.7,39.3,7,470(+2),,,,"[地]
角川秀樹",浅沼廣幸,,202430050808,NAR
9,7,8,フィールザクラウン,牡4,57,井上俊彦,1:54.6,4,**,-,-,-,-,7-6-6-6,43.2,40.5,8,450(-4),,,,"[地]
村上正和",林英明,,202430050808,NAR
10,6,6,バブリーダッシュ,牡7,57,阿部龍,1:55.2,3,**,-,-,-,-,6-8-9-9,42.8,132.9,10,468(-4),,,,"[地]
角川秀樹",高岡里枝,,202430050808,NAR
1,8,13,スプライト,牝4,54,池谷匠翔,1:31.8,,**,-,-,-,-,4-4-3-1,40.7,15.1,6,438(0),,,,"[地]
山崎裕也",稲葉光昭,100.0,202445050812,NAR
2,3,3,メリッソ,牝5,54,山林堂信,1:32.9,5,**,-,-,-,-,6-5-6-3,41.6,8.0,4,383(+5),,,,"[地]
八木正喜",北原大史,40.0,202445050812,NAR
3,8,14,クイーンラブソング,牝4,54,今野忠成,1:32.9,ハナ,**,-,-,-,-,11-10-9-7,40.7,3.1,1,487(+7),,,,"[地]
田島寿一",米田剛文,25.0,202445050812,NAR
4,5,7,ヤマトカチドキ,牝5,54,古岡勇樹,1:33.4,2.1/2,**,-,-,-,-,10-8-7-5,41.6,25.1,9,489(+1),,,,"[地]
山田質",（有）巽興商,15.0,202445050812,NAR
5,4,6,ガールズドリーム,牝4,54,本田紀忠,1:33.5,1/2,**,-,-,-,-,1-1-1-2,43.2,9.8,5,408(-2),,,,"[地]
内田勝義",星野隆男,10.0,202445050812,NAR
6,7,12,ノーブルジャック,牡4,56,増田充宏,1:33.9,2,**,-,-,-,-,8-9-10-9,41.5,46.1,10,419(-5),,,,"[地]
田辺陽一",吉木伸彦,,202445050812,NAR
7,1,1,ノーブルキャニオン,牡6,53,加藤雄真,1:34.2,1.1/2,**,-,-,-,-,13-12-13-13,41.0,15.5,7,478(-1),,,,"[地]
八木仁",吉木伸彦,,202445050812,NAR
8,2,2,シンボリビーノ,セ8,53,佐野遥久,1:34.3,3/4,**,-,-,-,-,12-12-12-11,41.3,23.3,8,461(0),,,,"[地]
八木仁",北原大史,,202445050812,NAR
9,3,4,モルデュール,牡4,52,小林捺花,1:35.0,3,**,-,-,-,-,5-6-5-8,43.6,47.9,11,499(+1),,,,"[地]
佐藤博紀",川上和彦,,202445050812,NAR
10,4,5,グッドヘイロー,牝5,54,野畑凌,1:35.1,クビ,**,-,-,-,-,3-3-3-5,44.1,5.3,3,509(+3),,,,"[地]
高月賢一",谷口祐人,,202445050812,NAR
11,6,9,ピンポンマム,牝4,54,岡村裕基,1:35.4,1.1/2,**,-,-,-,-,9-11-11-12,42.6,195.2,12,417(-2),,,,"[地]
武井和実",山辺浩,,202445050812,NAR
12,7,11,アタッシュマン,牡4,56,山崎誠士,1:35.6,1,**,-,-,-,-,2-2-2-4,45.0,3.8,2,473(0),,,,"[地]
平田正一",吉岡廣樹,,202445050812,NAR
13,5,8,ベニノパール,牝4,54,伊藤裕人,1:36.5,4,**,-,-,-,-,7-7-8-10,44.5,227.6,13,398(+3),,,,"[地]
田島寿一",（株）紅谷,,202445050812,NAR
除,6,10,モモンガクロー,牝4,54,藤江渉,,,,-,-,-,-,,,---,,計不,,,,"[地]
武井和実",北原大史,,202445050812,NAR
1,3,3,ラスターカノン,牝4,52,藤田凌駕,1:04.2,,**,-,-,-,-,2-1,38.2,2.9,2,420(+1),,,,"[地]
森山雄大",大田恭充,40.0,202430050801,NAR
2,8,10,アバランチベルン,牝4,55,松井伸也,1:04.4,1,**,-,-,-,-,4-4,38.2,131.2,9,402(-4),,,,"[地]
佐藤英明",小橋亮太,11.2,202430050801,NAR
3,7,8,リュウノフランカー,牡4,57,宮崎光行,1:04.7,1.1/2,**,-,-,-,-,3-1,38.6,3.1,3,486(-8),,,,"[地]
沼澤英知",蓑島竜一,8.4,202430050801,NAR
4,6,6,ステアエアー,牝4,55,岩橋勇二,1:04.9,1,**,-,-,-,-,5-5,38.5,34.1,6,418(-4),,,,"[地]
佐藤英明",（有）イシカリホー,5.6,202430050801,NAR
5,2,2,アースルナ,牝9,55,宮平鷹志,1:05.6,3,**,-,-,-,-,1-1,39.7,47.6,7,420(-12),,,,"[地]
岡島玉一",山口十郎,2.8,202430050801,NAR
6,5,5,ハッコウクィーン,牝5,55,服部茂史,1:05.7,クビ,**,-,-,-,-,7-6,38.6,2.7,1,434(-10),,,,"[地]
佐藤英明",佐藤ルツ子,,202430050801,NAR
7,1,1,ハートフルロマン,牝7,55,亀井洋司,1:06.3,3,**,-,-,-,-,6-7,39.4,68.7,8,450(+4),,,,"[地]
秋田大助",戸崎善之,,202430050801,NAR
8,8,9,ウエストリンギア,牝5,53,阿岸潤一,1:07.1,4,**,-,-,-,-,9-8,39.6,15.3,5,410(-10),,,,"[地]
佐々木国",谷岡康成,,202430050801,NAR
9,7,7,レッドヘザー,牝3,55,黒澤愛斗,1:07.3,1,**,-,-,-,-,8-9,40.1,11.9,4,374(0),,,,"[地]
桧森邦夫",田村義徳,,202430050801,NAR
10,4,4,シンデレラストリー,牝11,52,若杉朝飛,1:08.0,3,**,-,-,-,-,10-10,39.7,330.7,10,464(-8),,,,"[地]
佐藤英明",（有）イシカリホー,,202430050801,NAR
1,8,8,フィオリーノ,牝4,54,下原理,0:50.2,,**,-,-,-,-,1-1,36.2,1.3,1,472(-1),,,,"[地]
永島太郎",加藤徹,110.0,202450050810,NAR
2,8,9,ウポポイ,牝6,54,石堂響,0:51.7,9,**,-,-,-,-,5-6,37.4,57.2,7,447(+2),,,,"[地]
茂崎正善",小橋亮太,38.5,202450050810,NAR
3,6,6,ワンダーカラフル,牡4,56,井上幹太,0:51.7,アタマ,**,-,-,-,-,6-5,37.3,3.6,2,502(-3),,,,"[地]
保利良平",山本能成,22.0,202450050810,NAR
4,4,4,ゴールドランタン,牝6,54,長谷部駿,0:51.8,1/2,**,-,-,-,-,2-3,37.6,21.2,4,452(-6),,,,"[地]
岡田利一",（同）クイック・ホー,16.5,202450050810,NAR
5,1,1,ナリタブルホーク,牡6,56,大柿一真,0:51.8,アタマ,**,-,-,-,-,3-2,37.6,14.0,3,495(-2),,,,"[地]
橋本忠明",（株）オースミ,11.0,202450050810,NAR
6,7,7,スマートシエル,牝6,54,大山龍太,0:52.2,2.1/2,**,-,-,-,-,3-4,37.8,24.4,5,447(-1),,,,"[地]
山口浩幸",酒井孝敏,,202450050810,NAR
7,3,3,マイネルカグラ,牡5,56,松本幸祐,0:52.3,クビ,**,-,-,-,-,8-8,37.4,48.2,6,509(-13),,,,"[地]
尾林幸二",大石正,,202450050810,NAR
8,2,2,ノックトゥワイス,セ6,56,渡瀬和幸,0:53.3,6,**,-,-,-,-,7-7,38.8,337.2,9,477(-1),,,,"[地]
西川進也",隼設備（同）,,202450050810,NAR
9,5,5,エバーグロー,牡5,56,大山真吾,0:53.5,3/4,**,-,-,-,-,9-9,37.5,192.8,8,495(-7),,,,"[地]
保利幸作",小橋亮太,,202450050810,NAR
1,1,1,ステラデルシエロ,セ4,56,笹田知宏,2:08.8,,**,-,-,-,-,3-3-3-3,39.1,4.7,3,462(-4),,,,"[地]
新子雅司",（有）社台レースホ,130.0,202450050809,NAR
2,3,3,カレーパン,牡4,56,杉浦健太,2:09.1,1.1/2,**,-,-,-,-,4-4-4-4,39.2,2.4,2,496(-2),,,,"[地]
田村彰啓",重野心平,45.5,202450050809,NAR
3,6,6,マイネルアラウダ,牡4,56,吉村智洋,2:09.1,クビ,**,-,-,-,-,2-2-2-2,39.5,2.1,1,495(-3),,,,"[地]
坂本和也",柳田基,26.0,202450050809,NAR
4,2,2,ミラモンテ,牝5,54,鴨宮祥行,2:09.9,5,**,-,-,-,-,1-1-1-1,40.4,9.1,4,473(+3),,,,"[地]
松平幸秀",（株）藤田工務店,19.5,202450050809,NAR
5,7,7,ラロワイヤル,牡6,56,永井孝典,2:10.1,3/4,**,-,-,-,-,6-6-5-5,39.9,40.5,6,527(+5),,,,"[地]
田中道夫",（同）ＪＰＮ技研,13.0,202450050809,NAR
6,4,4,ウォニー,牡6,56,田野豊三,2:10.4,2,**,-,-,-,-,5-5-7-7,40.2,36.2,5,515(-6),,,,"[地]
稻田彰宏",組）オールザベスト組,,202450050809,NAR
7,5,5,シンアンドケン,牡9,56,渡瀬和幸,2:11.5,7,**,-,-,-,-,7-7-6-6,41.1,51.4,7,495(+7),,,,"[地]
茂崎正善",小橋亮太,,202450050809,NAR
1,1,1,ヴィクトリーアイ,牡4,56,吉村智洋,1:35.0,,**,-,-,-,-,6-6-6-5,40.0,3.2,2,462(-4),,,,"[地]
大塚信次",（株）さくらコーポ,56.0,202450050802,NAR
2,8,9,モンシュヴァル,牡5,56,下原理,1:35.3,2,**,-,-,-,-,2-2-1-1,41.0,2.2,1,453(+4),,,,"[地]
藤川純",三宅勝俊,19.6,202450050802,NAR
3,5,5,ペイバスク,牝6,54,山田雄大,1:35.4,3/4,**,-,-,-,-,7-6-4-3,40.5,24.7,5,403(-2),,,,"[地]
黒田隆男",（株）さくらコーポ,11.2,202450050802,NAR
4,7,8,ラブリーテン,牝6,54,石堂響,1:35.4,ハナ,**,-,-,-,-,3-3-3-4,40.9,119.1,10,453(+1),,,,"[地]
徳本慶一",組）オールザベスト組,8.4,202450050802,NAR
5,8,10,ソーマイティ,牡4,55,山本屋太,1:35.7,2,**,-,-,-,-,1-1-1-1,41.5,5.1,3,493(+5),,,,"[地]
坂本和也",後藤宙人,5.6,202450050802,NAR
6,3,3,インタクト,牡4,56,笹田知宏,1:35.9,3/4,**,-,-,-,-,8-8-8-7,40.7,5.7,4,499(-6),,,,"[地]
松浦聡志",前田幸大,,202450050802,NAR
7,6,6,フューチャーアイ,牡5,56,廣瀬航,1:36.2,1.1/2,**,-,-,-,-,9-9-9-9,40.9,43.9,7,462(+6),,,,"[地]
高本友芳",織田洋介,,202450050802,NAR
8,4,4,サンライズアトム,牝5,54,鴨宮祥行,1:36.2,クビ,**,-,-,-,-,4-4-7-8,41.4,30.3,6,480(+3),,,,"[地]
岡田利一",永井廣司,,202450050802,NAR
9,7,7,ホワイトニング,牝9,51,新庄海誠,1:36.4,3/4,**,-,-,-,-,4-4-5-6,41.6,75.2,8,476(-1),,,,"[地]
山元博徳",（株）ファーストビ,,202450050802,NAR
10,2,2,ドナビスケット,牝4,54,中田貴士,1:36.5,クビ,**,-,-,-,-,10-10-10-10,40.6,117.1,9,438(-1),,,,"[地]
野田忍",野田秀人,,202450050802,NAR
1,1,1,ジャスパーメジャー,牡6,56,阿部龍,1:14.7,,**,-,-,-,-,3-2,37.8,1.3,1,538(-6),,,,"[地]
佐久間雅",加藤和夫,80.0,202430050811,NAR
2,5,5,アイスボウル,牡6,57,石川倭,1:14.8,3/4,**,-,-,-,-,6-5,37.4,49.7,6,450(-14),,,,"[地]
小国博行",前田良平,22.4,202430050811,NAR
3,6,6,アリススプリングス,牝5,55,松井伸也,1:15.0,3/4,**,-,-,-,-,1-1,38.5,3.8,2,450(+2),,,,"[地]
沼澤英知",梶川憲一,16.8,202430050811,NAR
4,7,7,ディーエスボンバー,牡6,56,宮崎光行,1:15.5,2.1/2,**,-,-,-,-,3-4,38.6,12.1,4,518(-2),,,,"[地]
松本隆宏",秋谷壽之,11.2,202430050811,NAR
5,3,3,メイクザウインド,牝5,54,井上俊彦,1:15.6,1/2,**,-,-,-,-,3-3,38.7,10.3,3,506(-10),,,,"[地]
米川昇",平井裕,5.6,202430050811,NAR
6,4,4,フェールアシュバル,牝7,55,亀井洋司,1:16.5,4,**,-,-,-,-,2-5,39.7,71.2,7,512(+3),,,,"[地]
千葉津代",（有）日進牧場,,202430050811,NAR
7,2,2,ボルゲリ,牡6,57,小野楓馬,1:17.0,2.1/2,**,-,-,-,-,6-7,39.5,28.5,5,524(-4),,,,"[地]
斉藤正弘",木下康昭,,202430050811,NAR
1,8,11,オカノリリー,牝3,55,岩橋勇二,1:03.8,,**,-,-,-,-,3-3,38.4,4.3,3,452(-6),,,,"[地]
桧森邦夫",岡崎敏彦,50.0,202430050805,NAR
2,7,9,ソハヤ,セ3,57,小野楓馬,1:04.0,3/4,**,-,-,-,-,7-5,38.2,5.9,4,398(-13),,,,"[地]
小野望",（株）フクキタル,14.0,202430050805,NAR
3,4,4,ベイサルシュート,牝3,55,石川倭,1:04.4,2,**,-,-,-,-,2-2,39.2,97.8,10,456(-2),,,,"[地]
沼澤英知",宮崎成幸,10.5,202430050805,NAR
4,1,1,トレビアンクリール,牡3,57,宮崎光行,1:04.4,アタマ,**,-,-,-,-,5-4,38.8,2.8,1,414(-2),,,,"[地]
松本隆宏",（有）上水牧場,7.0,202430050805,NAR
5,6,6,シェアーズソウル,牝3,55,桑村真明,1:05.3,4,**,-,-,-,-,8-7,39.2,9.4,5,464(+2),,,,"[地]
角川秀樹",小林秀樹,3.5,202430050805,NAR
6,2,2,ヤマニンアズライト,牝3,53,宮内勇樹,1:05.3,ハナ,**,-,-,-,-,1-1,40.2,83.4,8,460(-6),,,,"[地]
川島洋人",土井久美子,,202430050805,NAR
7,8,10,アルリフラ,牝3,55,松井伸也,1:05.8,2.1/2,**,-,-,-,-,10-9,39.3,38.1,6,466(0),,,,"[地]
村上正和",近藤光将,,202430050805,NAR
8,5,5,エメラルグリーン,牝3,55,落合玄太,1:05.8,ハナ,**,-,-,-,-,6-8,40.0,3.2,2,426(-8),,,,"[地]
田中正二",高橋勉,,202430050805,NAR
9,7,8,オグリマックイーン,牡3,55,阿岸潤一,1:06.6,4,**,-,-,-,-,11-11,40.1,38.6,7,428(0),,,,"[地]
佐久間雅",高木毅,,202430050805,NAR
10,3,3,アプラウゾ,牝3,55,井上俊彦,1:07.5,4,**,-,-,-,-,9-10,41.3,153.5,11,396(-4),,,,"[地]
柳澤好美",大澤恒広,,202430050805,NAR
11,6,7,トンチャン,牝3,55,亀井洋司,1:08.0,2.1/2,**,-,-,-,-,3-6,42.6,89.9,9,426(-2),,,,"[地]
佐々木国",山際拓馬,,202430050805,NAR
1,5,5,フォルキャップ,牡4,57,落合玄太,1:15.0,,**,-,-,-,-,6-4,38.2,5.3,3,492(-8),,,,"[地]
桧森邦夫",八嶋長久,40.0,202430050807,NAR
2,4,4,ルンルンマルタン,牝5,55,松井伸也,1:15.6,3,**,-,-,-,-,2-1,39.5,4.8,2,486(-4),,,,"[地]
櫻井拓章",浦野智恵子,11.2,202430050807,NAR
3,7,10,ラトワール,牝4,55,宮崎光行,1:16.0,2,**,-,-,-,-,3-3,39.7,52.6,7,424(+2),,,,"[地]
山口竜一",橋本富夫,8.4,202430050807,NAR
